,,,,LUCAS spade sampling method,,,,,,,,,,,,Gouge auger sampling method,,,,,,,,,,,,
Sampling location,GPS_LONG,GPS_ LAT,Land cover,Soil_ID,"Clay/
g kg–1","Silt/
g kg–1","Sand/
g kg–1","Organic carbon/
g kg–1","Calcium carbonate/
g kg–1","Nitrogen/
g kg–1","Phosphorus/
mg kg–1","Potassium/
mg kg–1","pH in H2O
",pH in CaCl2,"Electrical conductivity/
mS m–1",Soil_ID,"Clay/
g kg–1","Silt/
g kg–1","Sand/
g kg–1","Organic carbon/
g kg–1","Calcium carbonate/
g kg–1","Nitrogen/
g kg–1","Phosphorus/
mg kg–1","Potassium/
mg kg–1","pH in H2O
",pH in CaCl2,"Electrical conductivity/
mS m–1",
99,7.9313,47.1225,meadow,53106,17,48,34,22.4,1,2.7,27.1,242.9,5.85,5.5,33.2,53266,15,49,36,24.9,0,3.2,37.9,178.9,5.65,5.4,31.5,
100,8.2472,47.1288,meadow,53107,23,58,19,23.5,0,3,42.4,88.8,6.53,6.3,29.7,53267,21,59,20,24.9,0,3.2,43.3,79.2,6.45,6.2,14.2,
101,8.9582,47.1372,pasture,53108,26,60,14,41.3,0,4.5,17.1,147.7,4.36,3.9,26.5,53268,28,55,17,43.6,0,4.6,13.7,116.8,4.32,3.9,21.6,
102,7.8245,47.1564,coniferous forest,53109,9,40,52,151.5,0,7.2,47.6,115.9,3.62,3,16.7,53269,8,36,56,131.4,0,6.8,56.5,71.1,3.62,3.1,15.1,
103,7.9561,47.1591,mixed forest,53110,16,36,48,18,0,1.5,0,67.4,4.94,4.3,6,53270,16,33,51,15,0,1.3,6,47.7,5.34,4.7,4.3,
104,8.0616,47.1609,coniferous forest,53111,16,43,41,49.2,0,3.2,22.6,74,4.21,3.6,7.3,53271,14,39,48,69.4,0,4.1,30.9,49.8,3.9,3.4,8.9,
105,8.1932,47.1633,coniferous forest,53112,20,55,25,38.3,0,2.9,11.4,79.6,5.07,4.5,6.2,53272,20,53,27,32.1,0,2.7,12.2,46.1,5.3,4.9,8.2,
106,7.4022,47.1652,meadow,53113,40,52,8,26.9,235,3.3,14.1,213.3,7.7,7.4,26.1,53273,42,50,8,27.1,213,3.2,16.7,154.9,7.65,7.3,28.9,
107,8.1927,47.1812,cropland,53114,22,56,22,29.3,8,3.6,32.8,105.7,7.32,7.1,30.2,53274,22,54,24,32.6,3,4.1,54.7,92.9,7.03,6.8,22.9,
108,9.1547,47.1915,pasture,53115,20,46,33,26.1,0,3.3,30.1,75.5,4.96,4.6,25.7,56275,20,45,36,29.7,0,3.6,21.7,61.2,5.13,4.6,10.4,
109,9.2217,47.2118,meadow,53116,22,46,32,24.4,0,2.9,9.2,91.4,4.97,4.4,8.7,53276,21,46,33,23.6,0,2.8,6.6,62.8,5.07,4.4,4.9,
110,8.2442,47.2181,meadow,53117,15,50,35,33.7,94,4.1,26.6,90.2,7.49,7.3,39.7,53277,14,51,35,37.7,73,4.6,37.2,63.3,7.23,7.6,25.4,
111,8.5075,47.2400,meadow,53118,23,65,13,100.8,53,8.2,93.2,359.7,7.35,7.2,58.6,53278,22,65,13,102.8,49,8.7,109.3,352.9,7.29,7.2,66.3,
112,8.1110,47.2518,pasture,53119,22,55,22,27.9,0,3.5,23.2,125.2,6.42,6.3,37.2,53279,21,56,23,26.9,1,3.5,21.7,91.2,6.5,6.3,34.8,
113,9.3449,47.2720,pasture,53120,20,57,23,68,0,7.1,40.1,182.5,4.73,4.5,59.7,53280,20,56,24,57.4,0,6.6,44.7,140.4,5.08,4.7,34.3,
114,7.0284,47.2456,meadow,53121,28,67,6,32.4,0,3.7,26.9,129.9,5.19,4.8,28,53281,29,65,6,29.9,0,3.6,26.9,141.6,5.08,5,34.6,
115,7.8200,47.2644,cropland,53122,22,47,31,18.7,0,2.1,49.8,165.1,5.52,5.1,17.5,53282,22,47,30,18.1,0,2.1,58,128,5.35,5,22.4,
116,8.5328,47.2763,pasture,53123,24,58,18,38.2,0,4.7,5.3,112.4,6.37,6.2,25.5,53283,22,58,20,39.2,0,5.3,9.9,99.6,6.25,6.1,38.3,
117,8.6913,47.2784,meadow,53124,24,53,22,25.8,0,3.1,82.6,114.4,5.69,5.4,43,53284,23,57,21,24.7,0,3.1,83.1,143.1,5.5,5.3,47.7,
118,8.1091,47.3058,meadow,53125,14,54,32,29.1,0,3.9,51.6,159.7,5.46,5.1,45.1,53285,13,54,34,24.7,0,3.3,44.4,92,5.81,5.5,29.7,
119,9.4832,47.3210,pasture,53126,22,58,19,66.6,0,5.6,7.8,138.8,7.18,7,42.8,53286,18,61,21,74,0,6.4,9.9,81.8,6.85,6.6,51.8,
120,7.6064,47.3140,deciduous forest,53127,36,55,9,54.2,0,4.1,0,361,6.4,6.1,20.5,53287,34,54,12,52.9,3,4,3.9,272.5,6.5,6.3,23.2,
121,7.9499,47.3209,cropland,53128,22,63,15,22.6,0,2.5,38.5,189.6,6.77,6.5,23.9,53288,22,65,13,21.4,0,2.5,38.2,190.9,6.44,6.2,21.4,
122,8.9543,47.3352,mixed forest,53129,20,46,34,44.9,0,3.3,0,97.5,6.35,6.1,32.9,53289,20,46,34,32.4,0,2.7,4.6,72.8,5.91,5.7,30.1,
